Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	F:\03_raw\Grad090_LFQ_A_01.mzML.dia	F:\03_raw\Grad090_LFQ_A_02.mzML.dia	F:\03_raw\Grad090_LFQ_A_04.mzML.dia	F:\03_raw\Grad090_LFQ_A_05.mzML.dia	F:\03_raw\Grad090_LFQ_B_01.mzML.dia	F:\03_raw\Grad090_LFQ_B_02.mzML.dia	F:\03_raw\Grad090_LFQ_B_03.mzML.dia	F:\03_raw\Grad090_LFQ_B_04.mzML.dia
A1L429;A6NDE8;A6NER3;O76087;P0CL80;P0CL81;P0CL82;P0DSO3;P0DTW1;Q13069;Q13070;Q4V321;Q4V326	Q13069;P0CL81;P0DTW1;A1L429;Q4V326;P0DSO3;P0CL80;A6NDE8;O76087;A6NER3;Q4V321;P0CL82;Q13070	GAG13_HUMAN;GAG2E_HUMAN;GAGE1_HUMAN;GAGE4_HUMAN;GAGE5_HUMAN;GAGE6_HUMAN;GAGE7_HUMAN;GG12C_HUMAN;GG12F_HUMAN;GG12G_HUMAN;GG12H_HUMAN;GG12I_HUMAN;GG12J_HUMAN	GAGE12B_HUMAN;GAGE12F_HUMAN;GAGE12G_HUMAN;GAGE12H_HUMAN;GAGE12I_HUMAN;GAGE12J_HUMAN;GAGE13_HUMAN;GAGE1_HUMAN;GAGE2E_HUMAN;GAGE4_HUMAN;GAGE5_HUMAN;GAGE6_HUMAN;GAGE7_HUMAN	G antigen 12B/C/D/E		708342	488273		504392	527341	479991	454790
A1X283	A1X283;Q5TCZ1	SPD2B_HUMAN	SH3PXD2B_HUMAN	SH3 and PX domain-containing protein 2B	488166	642096	607826	709010	594344	612482	655194	558631
A2I7N0	A2I7N0;A2I7N1	TREMBL:A2I7N0;Q28922;Q3ZEJ6	TREMBL:A2I7N0;Q28922;Q3ZEJ6		93577		102832	158556	94638.3	34560.1		
A2I7N3	A2I7N3	TREMBL:A2I7N3;Q27984	TREMBL:A2I7N3;Q27984		3.79612e+06	4.30973e+06	3.66075e+06	3.45175e+06	3.56332e+06	3.84613e+06	3.26799e+06	4.35635e+06
A2I7N3;Q9TTE1;REFSEQ:XP_001252647	A2I7N3;Q9TTE1;A2I7N1;REFSEQ:XP_001252647	(Bos;SWISS-PROT:Q9TTE1;TREMBL:A2I7N3;Q27984	(Bos;SWISS-PROT:Q9TTE1;TREMBL:A2I7N3;Q27984		5.79117e+07	5.76121e+07	5.50869e+07	5.28972e+07	5.44429e+07	5.60955e+07	5.86996e+07	5.44407e+07
A2I7N3;REFSEQ:XP_001252647	A2I7N3;REFSEQ:XP_001252647	(Bos;TREMBL:A2I7N3;Q27984	(Bos;TREMBL:A2I7N3;Q27984		1.9205e+07	1.88496e+07	1.78979e+07	1.86816e+07	2.00057e+07	2.03288e+07	2.02211e+07	1.99984e+07
A2RRP1	A2RRP1	NBAS_HUMAN	NBAS_HUMAN	Neuroblastoma-amplified sequence	148239	180487	181782	212001	219122	186585	221455	206952
A2RU67	A2RU67	F234B_HUMAN	FAM234B_HUMAN	Protein FAM234B	131973	163219		151179	163949	123887	206195	
A3KMH1	A3KMH1	VWA8_HUMAN	VWA8_HUMAN	von Willebrand factor A domain-containing protein 8	644374	734906	697232	732219	723842	779520	750025	843061
A3KN83	A3KN83	SBNO1_HUMAN	SBNO1_HUMAN	Protein strawberry notch homolog 1	184983	232070	290921	278193	228193	203566	220658	183409
A4D1E9	A4D1E9	GTPBA_HUMAN	GTPBP10_HUMAN	GTP-binding protein 10	569130	534071	643962	542299	591864	578124	590123	614645
A4D1P6	A4D1P6	WDR91_HUMAN	WDR91_HUMAN	WD repeat-containing protein 91			57293.6	45208.4	55837.6	51916.9		72610
A4FU01	A4FU01	MTMRB_HUMAN	MTMR11_HUMAN	Myotubularin-related protein 11	3.15944e+06	3.45164e+06	3.30266e+06	3.62141e+06	2.74843e+06	2.54781e+06	3.1726e+06	3.06449e+06
A5D8V6	A5D8V6	VP37C_HUMAN	VPS37C_HUMAN	Vacuolar protein sorting-associated protein 37C	127454	152923	168500	222603	164741	170596	188437	190808
A5PLL7	A5PLL7	PDES1_HUMAN	PEDS1_HUMAN	Plasmanylethanolamine desaturase					226218	212543	133611	176258
A5PLN9	A5PLN9	TPC13_HUMAN	TRAPPC13_HUMAN	Trafficking protein particle complex subunit 13	75963.4	59005.4	119297	136905	118765	154506	119867	127096
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1_HUMAN	CCR4-NOT transcription complex subunit 1	1.45737e+06	1.3833e+06	1.3919e+06	1.34501e+06	1.49621e+06	1.6089e+06	1.55418e+06	1.50036e+06
A5Z2X5	A5Z2X5	YP010_YEAST	YPR010C-A_YEAST	UPF0495 protein YPR010C-A	887410	800614	911800	718654	445093	455382	439747	446697
A6H8Y1	A6H8Y1	BDP1_HUMAN	BDP1_HUMAN	Transcription factor TFIIIB component B'' homolog		6545.18			32089.6	22314.2	38945.6	21182
A6NCE7;Q9GZQ8	Q9GZQ8;Q9H492;A6NCE7	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B2_HUMAN;MAP1LC3B_HUMAN	Microtubule-associated proteins 1A/1B light chain 3 beta 2	2.29556e+06	1.78603e+06	1.67293e+06	2.39735e+06	2.68443e+06	2.71645e+06	2.47103e+06	2.506e+06
A6ND36	A6ND36	FA83G_HUMAN	FAM83G_HUMAN	Protein FAM83G	21033.9		50884.4	56597.4	63220.5	69160.2	27656.3	
A6NDG6	A6NDG6	PGP_HUMAN	PGP_HUMAN	Glycerol-3-phosphate phosphatase	3.92416e+06	3.89288e+06	4.0119e+06	3.06948e+06	4.03872e+06	4.12033e+06	4.15495e+06	3.78525e+06
A6NDR6;O00470;O14770;Q99687	O00470;O14770;A6NDR6;Q99687	ME3L1_HUMAN;MEIS1_HUMAN;MEIS2_HUMAN;MEIS3_HUMAN	MEIS1_HUMAN;MEIS2_HUMAN;MEIS3P1_HUMAN;MEIS3_HUMAN	Putative homeobox protein Meis3-like 1	31305	101061	79642.5		112391	77509.4	83785	115645
A6NDU8	A6NDU8	CE051_HUMAN	C5orf51_HUMAN	UPF0600 protein C5orf51	1.05559e+06	1.12901e+06	1.07144e+06	1.0456e+06	1.13665e+06	1.11674e+06	1.06546e+06	1.12915e+06
A6NED2	A6NED2	RCCD1_HUMAN	RCCD1_HUMAN	RCC1 domain-containing protein 1	149527	140398	174350	72439.1	142600	127772	146973	93714.8
A6NES4	A6NES4	MRO2A_HUMAN	MROH2A_HUMAN	Maestro heat-like repeat-containing protein family member 2A	47844.2	69834.5		98415.9				
A6NFI3	A6NFI3	ZN316_HUMAN	ZNF316_HUMAN	Zinc finger protein 316	84676.2		40642.8		78322.9	84776.1	107250	79004.3
A6NHL2	A6NHL2	TBAL3_HUMAN	TUBAL3_HUMAN	Tubulin alpha chain-like 3	7.33091e+06	7.84542e+06	7.84339e+06	7.41228e+06	6.988e+06	7.03089e+06	7.05571e+06	6.74982e+06
A6NHL2;P09733;P09734	A6NHL2;P09734;P09733	TBA1_YEAST;TBA3_YEAST;TBAL3_HUMAN	TUB1_YEAST;TUB3_YEAST;TUBAL3_HUMAN	Tubulin alpha chain-like 3	2.11217e+07	2.08903e+07	2.09177e+07	2.21226e+07	1.0501e+07	1.10316e+07	1.06435e+07	1.10425e+07
A6NHL2;P09733;P09734;P68366;Q9BQE3;Q9NY65	P0DPH7;Q71U36;P68366;A6NHL2;Q9BQE3;P0DPH8;Q6PEY2;Q9NY65;P68363;P09734;P09733	TBA1C_HUMAN;TBA1_YEAST;TBA3_YEAST;TBA4A_HUMAN;TBA8_HUMAN;TBAL3_HUMAN	TUB1_YEAST;TUB3_YEAST;TUBA1C_HUMAN;TUBA4A_HUMAN;TUBA8_HUMAN;TUBAL3_HUMAN	Tubulin alpha chain-like 3	1.57123e+08	1.57907e+08	1.59352e+08	1.32399e+08	1.44797e+08	1.44393e+08	1.47152e+08	1.41443e+08
A6NHL2;P68366;Q9BQE3	Q71U36;P68366;A6NHL2;Q9BQE3;P68363	TBA1C_HUMAN;TBA4A_HUMAN;TBAL3_HUMAN	TUBA1C_HUMAN;TUBA4A_HUMAN;TUBAL3_HUMAN	Tubulin alpha chain-like 3	3.88567e+07	3.83642e+07	4.05954e+07	3.82569e+07	3.9786e+07	4.11472e+07	4.19447e+07	4.02505e+07
A6NHQ2;P22087	A6NHQ2;P22087	FBLL1_HUMAN;FBRL_HUMAN	FBLL1_HUMAN;FBL_HUMAN	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1	4.5828e+06	4.64559e+06	4.69469e+06	3.86771e+06	4.60355e+06	4.66642e+06	4.66124e+06	4.56012e+06
A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1_HUMAN	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.33841e+06	1.36544e+06	1.3729e+06	1.35774e+06	1.43311e+06	1.3947e+06	1.44446e+06	1.44237e+06
A6NHX0	A6NHX0	CAST2_HUMAN	CASTOR2_HUMAN	Cytosolic arginine sensor for mTORC1 subunit 2	127343	80269.4	109743	148801	94248.8	80220.4	88634.1	105857
A6NIH7	A6NIH7	U119B_HUMAN	UNC119B_HUMAN	Protein unc-119 homolog B	326147	341950	355864	319239	381571	410613	405444	381493
A6NIH7;Q13432	A6NIH7;Q13432	U119A_HUMAN;U119B_HUMAN	UNC119B_HUMAN;UNC119_HUMAN	Protein unc-119 homolog B	390700	407456	323802	276749	579873	262346	497698	573341
A6NJ78	A6NJ78	MET15_HUMAN	METTL15_HUMAN	12S rRNA N4-methylcytidine (m4C) methyltransferase	245532	341019	195737	240123	291819	268214	287247	163037
A6NKD9	A6NKD9	CC85C_HUMAN	CCDC85C_HUMAN	Coiled-coil domain-containing protein 85C				11141.1				
A6NKF1	A6NKF1	SAC31_HUMAN	SAC3D1_HUMAN	SAC3 domain-containing protein 1	202447	436708	257896	918815	477025	885112	523712	432376
A6NKT7;Q7Z3J3	A6NKT7;Q7Z3J3	RGPD3_HUMAN;RGPD4_HUMAN	RGPD3_HUMAN;RGPD4_HUMAN	RanBP2-like and GRIP domain-containing protein 3		1.07935e+06		1.13698e+06	994617			
A6ZKI3	A6ZKI3	RTL8C_HUMAN	RTL8C_HUMAN	Retrotransposon Gag-like protein 8C	253041			343657	352491	388422	408724	411910
A8CG34	A8CG34	P121C_HUMAN	POM121C_HUMAN	Nuclear envelope pore membrane protein POM 121C	434319	391481	455278	370834	469820	410243	419099	386993
A8CG34;Q96HA1	Q6PJE2;Q96HA1;A8CG34	P121A_HUMAN;P121C_HUMAN	POM121C_HUMAN;POM121_HUMAN	Nuclear envelope pore membrane protein POM 121C	437796	418591	533299	424889	507487	477431	472700	519545
A8MPP1;Q92771;Q96FC9	Q92771;Q96FC9;A8MPP1	D11L8_HUMAN;DDX11_HUMAN;DDX12_HUMAN	DDX11L8_HUMAN;DDX11_HUMAN;DDX12P_HUMAN	Putative ATP-dependent RNA helicase DDX11-like protein 8	21216.2	39335.1						
A8MT69	A8MT69	CENPX_HUMAN	CENPX_HUMAN	Centromere protein X	79823.2	83159.8	97096	110476	76801.9	95928.4	124029	44757
A8MV65	A8MV65	VGLL3_HUMAN	VGLL3_HUMAN	Transcription cofactor vestigial-like protein 3	81330	38234.1	43452.2					
A8MWD9;P62308	P62308;A8MWD9	RUXGL_HUMAN;RUXG_HUMAN	SNRPGP15_HUMAN;SNRPG_HUMAN	Putative small nuclear ribonucleoprotein G-like protein 15	1.08804e+07	1.12045e+07	1.05178e+07	8.20313e+06	1.0991e+07	1.09908e+07	1.11294e+07	1.07147e+07
A8MX19	A8MX19	F90AC_HUMAN	FAM90A12P_HUMAN	Putative protein FAM90A12P					437166	507880	439192	513501
A8MXV4	A8MXV4	NUD19_HUMAN	NUDT19_HUMAN	Nucleoside diphosphate-linked moiety X motif 19	615961	613692	533407	636810	598345	383074	621975	570642
A9QM74	A9QM74	IMA8_HUMAN	KPNA7_HUMAN	Importin subunit alpha-8	1.78648e+06	1.68665e+06					1.81537e+06	1.77072e+06
B0I1T2	O94832;B0I1T2	MYO1G_HUMAN	MYO1G_HUMAN	Unconventional myosin-Ig	4.97919e+06	4.83462e+06	4.77529e+06	4.6381e+06	4.93494e+06	4.87091e+06	4.89254e+06	4.87288e+06
B7ZAP0;Q9Y3P9	B7ZAP0;Q9Y3P9	RBG10_HUMAN;RBGP1_HUMAN	RABGAP1L_HUMAN;RABGAP1_HUMAN	Rab GTPase-activating protein 1-like, isoform 10	277681	259129	197012	83939.2	273460	220254	303559	259582
B7ZAQ6;P0CG08	P0CG08;B7ZAQ6	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A_HUMAN;GPR89B_HUMAN	Golgi pH regulator A	394021	836046	334218	400720	405781	411962	431372	606439
C4AMC7;Q6VEQ5	Q6VEQ5;C4AMC7	WASH2_HUMAN;WASH3_HUMAN	WASH2P_HUMAN;WASH3P_HUMAN	Putative WAS protein family homolog 3	74903.6		142326		122201	102822	113177	90803
C9J7I0	C9J7I0	UMAD1_HUMAN	UMAD1_HUMAN	UBAP1-MVB12-associated (UMA)-domain containing protein 1	17825.5	38663.9	85143.1	76839.3	68678.6	89745.2	34396.3	158995
D6VTK4	D6VTK4	STE2_YEAST	STE2_YEAST	Pheromone alpha factor receptor	313486	297929	289791	302909	103732	150944	150211	103863
E5RJM6	E5RJM6	ANR65_HUMAN	ANKRD65_HUMAN	Ankyrin repeat domain-containing protein 65	633303	513650	382330	486382	595612	721824	591934	502577
E9PAV3;Q13765	E9PAV3;Q13765	NACAM_HUMAN;NACA_HUMAN	NACA_HUMAN	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.90661e+07	1.90882e+07	1.92518e+07	1.81106e+07	1.89325e+07	1.92571e+07	1.95478e+07	1.92142e+07
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98_HUMAN	Uncharacterized protein C11orf98	2.60932e+06	2.82453e+06	2.60912e+06	2.35971e+06	3.20095e+06	2.65609e+06	3.01274e+06	2.94631e+06
ENSEMBL:ENSBTAP00000006074	ENSEMBL:ENSBTAP00000006074	(Bos	(Bos		1.63002e+06	1.61562e+06	1.55674e+06	1.43835e+06	1.60701e+06	1.69561e+06	1.57204e+06	1.67387e+06
ENSEMBL:ENSBTAP00000007350	ENSEMBL:ENSBTAP00000007350	(Bos	(Bos		9.14773e+06	9.00745e+06	9.03345e+06	7.50252e+06	9.31943e+06	8.9697e+06	9.08941e+06	8.97874e+06
ENSEMBL:ENSBTAP00000007350;P01030	P01030;ENSEMBL:ENSBTAP00000007350;P0C0L4;P0C0L5	(Bos;SWISS-PROT:P01030	(Bos;SWISS-PROT:P01030		1.45602e+07	1.48173e+07	1.46926e+07	1.41215e+07	1.50467e+07	1.49509e+07	1.51214e+07	1.45974e+07
ENSEMBL:ENSBTAP00000013050	ENSEMBL:ENSBTAP00000013050	(Bos	(Bos		1.02211e+06	1.09103e+06	1.11519e+06	1.44933e+06	1.18517e+06	1.03979e+06	1.3038e+06	754546
ENSEMBL:ENSBTAP00000016046	ENSEMBL:ENSBTAP00000016046;P23142	(Bos	(Bos		5.59871e+06	5.25929e+06	5.3278e+06	5.1012e+06	5.48246e+06	5.48089e+06	5.43764e+06	5.37625e+06
ENSEMBL:ENSBTAP00000018229	Q3MHN5;ENSEMBL:ENSBTAP00000018229	(Bos	(Bos		574384	531806	530384	591632	562697	650176	607668	599864
ENSEMBL:ENSBTAP00000018574	ENSEMBL:ENSBTAP00000018574	(Bos	(Bos		4.1652e+07	4.11559e+07	4.18008e+07	4.01444e+07	4.17569e+07	4.13331e+07	4.08241e+07	4.14128e+07
ENSEMBL:ENSBTAP00000023055	ENSEMBL:ENSBTAP00000023055	(Bos	(Bos							32785.7		
ENSEMBL:ENSBTAP00000023402	ENSEMBL:ENSBTAP00000023402	(Bos	(Bos		5.92504e+06	5.86673e+06	5.81268e+06	5.72845e+06	5.90941e+06	6.00509e+06	5.73751e+06	6.12063e+06
ENSEMBL:ENSBTAP00000024146	ENSEMBL:ENSBTAP00000024146	(Bos	(Bos		2.83078e+07	2.84149e+07	2.81544e+07	2.64547e+07	2.85642e+07	2.81115e+07	2.8408e+07	2.82367e+07
ENSEMBL:ENSBTAP00000024462;ENSEMBL:ENSBTAP00000024466	ENSEMBL:ENSBTAP00000024466;ENSEMBL:ENSBTAP00000024462	(Bos	(Bos		780986	754770	865384	800912	981711	838234	857870	924684
ENSEMBL:ENSBTAP00000025008	ENSEMBL:ENSBTAP00000025008	(Bos	(Bos		203474	247738	219532	134046	239037	261740	227700	292254
ENSEMBL:ENSBTAP00000031900	ENSEMBL:ENSBTAP00000031900	(Bos	(Bos		180176	237541	238352	244172	332468	392392	231548	243255
ENSEMBL:ENSBTAP00000032840	ENSEMBL:ENSBTAP00000032840	(Bos	(Bos		1.50961e+06	1.57473e+06	1.57885e+06	1.55399e+06	1.58663e+06	1.57703e+06	1.61147e+06	1.66817e+06
ENSEMBL:ENSBTAP00000034412	ENSEMBL:ENSBTAP00000034412	(Bos	(Bos		2.63174e+06	2.54048e+06	2.63205e+06	2.31565e+06	2.85869e+06	2.59639e+06	2.87373e+06	2.7461e+06
ENSEMBL:ENSBTAP00000037665	ENSEMBL:ENSBTAP00000037665	(Bos	(Bos		7.80856e+06	7.9133e+06	8.39112e+06	8.38065e+06	8.34214e+06	8.45343e+06	8.29881e+06	8.47316e+06
ENSEMBL:ENSBTAP00000038253;P04264	P04264;P35908;Q6NXH9;Q6IFZ6;Q9R0H5;Q7Z794;ENSEMBL:ENSBTAP00000038253	(Bos;SWISS-PROT:P04264	(Bos;SWISS-PROT:P04264		60818.9	58093.9	29983.8		67381.1	37604.4		
ENSEMBL:ENSBTAP00000038329	ENSEMBL:ENSBTAP00000038329	(Bos	(Bos		1.12341e+07	1.06884e+07	9.055e+06	1.05516e+07	9.89331e+06	9.31706e+06	9.81557e+06	9.85005e+06
ENSEMBL:ENSBTAP00000038329;REFSEQ:XP_001252647	ENSEMBL:ENSBTAP00000038329;REFSEQ:XP_001252647	(Bos	(Bos		7.17631e+06	7.05312e+06	7.20327e+06	7.34292e+06	7.72928e+06	7.93851e+06	7.51713e+06	7.896e+06
L0R6Q1	L0R6Q1	S35U4_HUMAN	SLC35A4_HUMAN	SLC35A4 upstream open reading frame protein	3.0075e+06	2.58258e+06	3.07052e+06	2.79184e+06	3.07813e+06	3.40594e+06	3.5292e+06	3.19216e+06
L0R819	L0R819	ASURF_HUMAN	ASDURF_HUMAN	ASNSD1 upstream open reading frame protein	244032	227021	150711	215679	210904	195268	194900	222833
L0R8F8	L0R8F8	MIDUO_HUMAN	MIEF1_HUMAN	MIEF1 upstream open reading frame protein	755371	677650	537568	650411	832200	927432	776704	732501
O00115	O00115	DNS2A_HUMAN	DNASE2_HUMAN	Deoxyribonuclease-2-alpha	1.41711e+06	1.21857e+06	1.27415e+06	1.25093e+06	1.66405e+06	1.6403e+06	1.55118e+06	1.61323e+06
O00116	O00116	ADAS_HUMAN	AGPS_HUMAN	Alkyldihydroxyacetonephosphate synthase, peroxisomal	2.49427e+06	2.60773e+06	2.6094e+06	2.37353e+06	2.55672e+06	2.62135e+06	2.5762e+06	2.62632e+06
O00139	O00139	KIF2A_HUMAN	KIF2A_HUMAN	Kinesin-like protein KIF2A	1.89351e+06	1.96406e+06	1.99674e+06	1.87892e+06	2.00041e+06	2.106e+06	2.01833e+06	2.14443e+06
O00139;Q99661	O00139;Q99661	KIF2A_HUMAN;KIF2C_HUMAN	KIF2A_HUMAN;KIF2C_HUMAN	Kinesin-like protein KIF2A	2.68039e+06	2.1124e+06	2.31197e+06	2.46581e+06		2.80736e+06		2.31111e+06
O00141	O00141	SGK1_HUMAN	SGK1_HUMAN	Serine/threonine-protein kinase Sgk1	673817	724611	810494	634043	580503	502613	770436	633763
O00142	O00142	KITM_HUMAN	TK2_HUMAN	Thymidine kinase 2, mitochondrial					278223	244126	216446	239275
O00148	O00148	DX39A_HUMAN	DDX39A_HUMAN	ATP-dependent RNA helicase DDX39A	8.92604e+06	8.92448e+06	8.65871e+06	8.03788e+06	8.64302e+06	8.66624e+06	8.81628e+06	8.59478e+06
O00148;Q07478;Q13838	Q13838;O00148;Q07478	DX39A_HUMAN;DX39B_HUMAN;SUB2_YEAST	DDX39A_HUMAN;DDX39B_HUMAN;SUB2_YEAST	ATP-dependent RNA helicase DDX39A	2.75923e+07	2.83988e+07	3.38159e+07	3.07492e+07	2.29893e+07	2.41952e+07	2.23809e+07	2.45419e+07
O00148;Q13838	Q13838;O00148	DX39A_HUMAN;DX39B_HUMAN	DDX39A_HUMAN;DDX39B_HUMAN	ATP-dependent RNA helicase DDX39A	4.43349e+07	4.4774e+07	4.43665e+07	4.37889e+07	4.46323e+07	4.40492e+07	4.39431e+07	4.32113e+07
O00151	O00151	PDLI1_HUMAN	PDLIM1_HUMAN	PDZ and LIM domain protein 1	2.89469e+06	2.88206e+06	2.69848e+06	2.85165e+06	2.59548e+06	2.85304e+06	3.00739e+06	2.92851e+06
O00154	O00154	BACH_HUMAN	ACOT7_HUMAN	Cytosolic acyl coenzyme A thioester hydrolase	1.53124e+07	1.5184e+07	1.45943e+07	1.43779e+07	1.39441e+07	1.43153e+07	1.42015e+07	1.38143e+07
O00159	O00159	MYO1C_HUMAN	MYO1C_HUMAN	Unconventional myosin-Ic	3.15397e+06	3.13984e+06	3.21558e+06	2.88415e+06	3.23226e+06	3.25942e+06	3.15514e+06	3.19179e+06
O00161	O00161	SNP23_HUMAN	SNAP23_HUMAN	Synaptosomal-associated protein 23	710991	767837	749513	723347	905670	808883	866034	807386
O00165	O00165	HAX1_HUMAN	HAX1_HUMAN	HCLS1-associated protein X-1	1.00277e+06	1.05259e+06	909810	893729	995524	959321	941404	913400
O00170	O00170	AIP_HUMAN	AIP_HUMAN	AH receptor-interacting protein	4.66011e+06	4.72861e+06	4.72882e+06	4.26126e+06	4.88803e+06	4.64398e+06	4.77043e+06	4.61571e+06
O00178	O00178	GTPB1_HUMAN	GTPBP1_HUMAN	GTP-binding protein 1	729459	697375	673047	736197	709620	718268	717073	704572
O00186	O00186	STXB3_HUMAN	STXBP3_HUMAN	Syntaxin-binding protein 3	2.36723e+06	2.28283e+06	2.30163e+06	2.17501e+06	2.37824e+06	2.41298e+06	2.5798e+06	2.26622e+06
O00187	O00187	MASP2_HUMAN	MASP2_HUMAN	Mannan-binding lectin serine protease 2	50185.3				86952.3	65646.1	89436.5	86989.3
O00189	O00189	AP4M1_HUMAN	AP4M1_HUMAN	AP-4 complex subunit mu-1	188359	178135	209817	221879		102650	228207	238267
O00193	O00193	SMAP_HUMAN	SMAP_HUMAN	Small acidic protein	471477	522313	488030	393298	510310	535940	549997	564413
O00194	O00194	RB27B_HUMAN	RAB27B_HUMAN	Ras-related protein Rab-27B	278560	264121	288666	183252	302732	280754	258372	203602
O00194;P51159	P51159;O00194	RB27A_HUMAN;RB27B_HUMAN	RAB27A_HUMAN;RAB27B_HUMAN	Ras-related protein Rab-27B	528580	575544	472908	595348	512410	311775	518154	492313
O00203	O00203	AP3B1_HUMAN	AP3B1_HUMAN	AP-3 complex subunit beta-1	1.26531e+07	1.25672e+07	1.12554e+07	1.103e+07	1.21867e+07	1.28778e+07	1.24105e+07	1.31287e+07
O00203;Q13367	Q13367;O00203	AP3B1_HUMAN;AP3B2_HUMAN	AP3B1_HUMAN;AP3B2_HUMAN	AP-3 complex subunit beta-1	841638	819503	824774	638820	795599	899858	773854	832393
O00217	O00217	NDUS8_HUMAN	NDUFS8_HUMAN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	5.21799e+06	5.48751e+06	5.36854e+06	4.48282e+06	5.21332e+06	5.10564e+06	5.23615e+06	5.4136e+06
O00220	O00220	TR10A_HUMAN	TNFRSF10A_HUMAN	Tumor necrosis factor receptor superfamily member 10A	182540	218744	161676	180733		170661	126102	172819
O00231	O00231	PSD11_HUMAN	PSMD11_HUMAN	26S proteasome non-ATPase regulatory subunit 11	5.84805e+06	5.90096e+06	6.19899e+06	5.93681e+06	6.04383e+06	6.12333e+06	6.11643e+06	5.89414e+06
